"med" "estup_psicot"
"291" "RISEDRONATO" FALSE
"292" "PROQUAD DISOLVENTE" FALSE
"293" "GANFORT" FALSE
"294" "ROTATEQ" FALSE
"295" "ELIQUIS" FALSE
"296" "COLIROFTA ATROPINA" FALSE
"297" "DOXAZOSINA" FALSE
"298" "NICORETTE" FALSE
"299" "BARNIX" FALSE
"300" "PENTASA" FALSE
"301" "DIFTAVAX" FALSE
"302" "ZIPRASIDONA" FALSE
"303" "DIPROSALIC" FALSE
"304" "SUTENT" FALSE
"305" "NICOTINELL" FALSE
"306" "NAPROXENO" FALSE
"307" "ELONTRIL" FALSE
"308" "ADVAGRAF" FALSE
"309" "YODUK" FALSE
"310" "DISLAVEN" FALSE
"311" "RIZATRIPTAN" FALSE
"312" "GALVUS" FALSE
"313" "IBUPROFENO ARGININA" FALSE
"314" "CANESPIE CLOTRIMAZOL" FALSE
"315" "IBUDOL" FALSE
"316" "TESAVEL" FALSE
"317" "LATANOPROST TIMOLOL" FALSE
"318" "GABAPENTINA" FALSE
"319" "ZANIPRESS" FALSE
"320" "CRISTALMINA" FALSE
"321" "ROTARIX DOSIFICADOR ANTIRROTAVIRUS VIVA" FALSE
"322" "OXYCONTIN" TRUE
"323" "TRIFLUSAL" FALSE
"324" "VALDOXAN" FALSE
"325" "MELIANE" FALSE
"326" "XOLAIR" FALSE
"327" "KILOR" FALSE
"328" "IVABRADINA" FALSE
"329" "ANTICERUMEN LIADE" FALSE
"330" "MODIGRAF" FALSE
"331" "ACOXXEL" FALSE
"332" "GEMFIBROZILO" FALSE
"333" "PERINDOPRIL INDAPAMIDA" FALSE
"334" "TAMSULOSINA" FALSE
"335" "TRIALONA" FALSE
"336" "NICORETTE ICE MINT" FALSE
"337" "MELODENE" FALSE
"338" "BEGLAN ACCUHALER" FALSE
"339" "INSUCOR" FALSE
"340" "BUDESONIDA" FALSE
"341" "NEMEA" FALSE
"342" "GINEDERMOFIX" FALSE
"343" "YIRA" FALSE
"344" "ZOVIDUO" FALSE
"345" "ATROALDO" FALSE
"346" "JAKAVI" FALSE
"347" "VALSARTAN CARDIO" FALSE
"348" "MMRVAXPRO DISOLVENTE" FALSE
"349" "FLUNUTRAC" FALSE
"350" "LISINOPRIL HIDROCLOROTIAZIDA" FALSE
"351" "YANTIL" TRUE
"352" "MINURIN" FALSE
"353" "HIDROCLOROTIAZIDA" FALSE
"354" "PIOGLITAZONA" FALSE
"355" "TARMED" FALSE
"356" "CEFTRIAXONA" FALSE
"357" "TERTENSIF" FALSE
"358" "GONAL" FALSE
"359" "MENOPUR" FALSE
"360" "LOMEXIN" FALSE
"361" "MOVALIS" FALSE
"362" "SINGULAIR" FALSE
"363" "TELMISARTAN" FALSE
"364" "PLENUR" FALSE
"365" "AFINITOR" FALSE
"366" "RAPAMUNE" FALSE
"367" "LACRYVISC" FALSE
"368" "ZOLMITRIPTAN" FALSE
"369" "FEMARA" FALSE
"370" "COZAAR" FALSE
"371" "OXCARBAZEPINA" FALSE
"372" "CETRAXAL" FALSE
"373" "EPLERENONA" FALSE
"374" "METILPREDNISOLONA" FALSE
"375" "DORZOLAMIDA TIMOLOL" FALSE
"376" "BETAHISTINA" FALSE
"377" "GLICLAZIDA" FALSE
"378" "PYLERA" FALSE
"379" "TRUSOPT" FALSE
"380" "NEURONTIN" FALSE
"381" "FLUVASTATINA" FALSE
"382" "XARELTO" FALSE
"383" "BUCOMETASANA" FALSE
"384" "ETOXISCLEROL" FALSE
"385" "METILFENIDATO" TRUE
"386" "FLUSONAL" FALSE
"387" "VALTREX" FALSE
"388" "TEGRETOL" FALSE
"389" "ETINILESTRADIOL DROSPIRENONA" FALSE
"390" "ROPINIROL PROLIB" FALSE
"391" "PARICALCITOL" FALSE
"392" "NICORETTE BUCOMIST" FALSE
"393" "KEFLORIDINA" FALSE
"394" "AMOXICILINA" FALSE
"395" "RISTABEN" FALSE
"396" "MONUROL" FALSE
"397" "ZINNAT" FALSE
"398" "CEFUROXIMA" FALSE
"399" "BUCOMAX LIDOCAINA" FALSE
"400" "INNOHEP" FALSE
"401" "ADOLQUIR" FALSE
"402" "LUMIGAN" FALSE
"403" "VENORUTON DIOSMINA" FALSE
"404" "ANAOMI" FALSE
"405" "EUTIROX" FALSE
"406" "TRAZODONA" FALSE
"407" "AUGMENTINE" FALSE
"408" "TAFINLAR" FALSE
"409" "CERTICAN" FALSE
"410" "ANASMA ACCUHALER" FALSE
"411" "SILVEDERMA" FALSE
"412" "XEPLION" FALSE
"413" "SPEDRA" FALSE
"414" "VIPIDIA" FALSE
"415" "FLIXOTIDE ACCUHALER" FALSE
"416" "SALBUAIR" FALSE
"417" "VIPDOMET" FALSE
"418" "ALMOTRIPTAN" FALSE
"419" "BEXSERO" FALSE
"420" "TIBOCINA" FALSE
"421" "VIREXEN" FALSE
"422" "CLINDAMICINA" FALSE
"423" "CARMELOSA" FALSE
"424" "BATMEN" FALSE
"425" "FINACEA" FALSE
"426" "INVOKANA" FALSE
"427" "ROPINIROL" FALSE
"428" "JARDIANCE" FALSE
"429" "VOKANAMET" FALSE
"430" "ORVATEZ" FALSE
"431" "MAXALT" FALSE
"432" "TRAVOPROST ABAMED" FALSE
"433" "VALGANCICLOVIR" FALSE
"434" "OTILONIO" FALSE
"435" "CLINWAS" FALSE
"436" "ENALAPRIL LERCANIDIPINO" FALSE
"437" "DUAC" FALSE
"438" "GARDASIL" FALSE
"439" "ARIPIPRAZOL" FALSE
"440" "RINGER LACTADO" FALSE
"441" "AIRFLUSAL FORSPIRO" FALSE
"442" "AFULTRANT" FALSE
"443" "IKERVIS" FALSE
"444" "PRALUENT" FALSE
"445" "IMIGRAN" FALSE
"446" "EZETIMIBA SIMVASTATINA" FALSE
"447" "BUPRENORFINA" TRUE
"448" "NASOALDO" FALSE
"449" "TAGRISSO" FALSE
"450" "CINFAMUCOL ACETILCISTEINA" FALSE
"451" "BRIVIACT" FALSE
"452" "MOXIFLOXACINO" FALSE
"453" "AMLODIPINO VALSARTAN" FALSE
"454" "ZEPATIER" FALSE
"455" "OMEPRAZOL GOBENS" FALSE
"456" "CONCERTA" TRUE
"457" "ZYTIGA" FALSE
"458" "CAREVALAN" FALSE
"459" "SEDOTIME" TRUE
"460" "OPTIALERG" FALSE
"461" "CEFOTAXIMA" FALSE
"462" "KALPRESS" FALSE
"463" "NAPRILENE" FALSE
"464" "GLYXAMBI" FALSE
"465" "NOVONORM" FALSE
"466" "ENOXAPARINA" FALSE
"467" "IDOKA" FALSE
"468" "DALACIN" FALSE
"469" "VILDAGLIPTINA" FALSE
"470" "MONOPROST" FALSE
"471" "ZONISAMIDA" FALSE
"472" "INHIXA" FALSE
"473" "ALMOGRAN" FALSE
"474" "CASENLAX" FALSE
"475" "DOXICICLINA" FALSE
"476" "SEKISAN" FALSE
"477" "CASENGLICOL" FALSE
"478" "GIBITER EASYHALER" FALSE
"479" "OZEMPIC" FALSE
"480" "ESOMEPRAZOL NORMOGEN" FALSE
"481" "TANONALLA" TRUE
"482" "ELEBRATO ELLIPTA" FALSE
"483" "ZONESME" FALSE
"484" "FAMVIR" FALSE
"485" "VICTOGON" FALSE
"486" "MYFORTIC" FALSE
"487" "SOLIFENACINA" FALSE
"488" "AIDRA" FALSE
"489" "PRAMEP" FALSE
"490" "SILODOSINA" FALSE
"491" "ALOPURINOL" FALSE
"492" "AMLODIPINO VALSARTAN HIDROCLOROTIAZIDA" FALSE
"493" "GLIVEC" FALSE
"494" "NORMOPIL" FALSE
"495" "ACORE" FALSE
"496" "METOJECT PEN" FALSE
"497" "OPHTESIC" FALSE
"498" "DUTASTERIDA TAMSULOSINA" FALSE
"499" "LORVIQUA" FALSE
"500" "LEVOFLOXACINO" FALSE
"501" "ESLICARBAZEPINA" FALSE
"502" "NORDIMET" FALSE
"503" "DEFERASIROX" FALSE
"504" "DIFENATIL" FALSE
"505" "OLMESARTAN AMLODIPINO HIDROCLOROTIAZIDA" FALSE
"506" "CLAMOXYL" FALSE
"507" "MASTICAL" FALSE
"508" "ITRACONAZOL" FALSE
"509" "FULVESTRANT" FALSE
"510" "LIDALTRIN DIU" FALSE
"511" "RETIRIDES" FALSE
"512" "ELIMENS" FALSE
"513" "ZIMBUS BREEZHALER" FALSE
"514" "SYMBICORT" FALSE
"515" "SITAGLIPTINA" FALSE
"516" "FAVILAX" FALSE
"517" "DEXKETOPROFENO" FALSE
"518" "GLUCOSADA" FALSE
"519" "DIAZEPAM NORMOGEN" TRUE
"520" "BOLTIN" FALSE
"521" "SUNITINIB REDDYS" FALSE
"522" "EVRENZO" FALSE
"523" "ENSTILAR" FALSE
"524" "ATORDUO" FALSE
"525" "LACOSAMIDA" FALSE
"526" "FENTICERTA" TRUE
"527" "BETMIGA" FALSE
"528" "TADALAFILO STADAGEN" FALSE
"529" "CANDESARTAN CILEXETILO HIDROCLOROTIAZIDA" FALSE
"530" "CITICOLINA NORMOGEN" FALSE
"531" "ENALAPRIL" FALSE
"532" "ANDROCUR" FALSE
"533" "METSUNIX" FALSE
"534" "RABIDUX" FALSE
"535" "ATENOLOL" FALSE
"536" "CIPROFLOXACINO" FALSE
"537" "RANOLAZINA" FALSE
"538" "CIQORIN" FALSE
"539" "DONEKA" FALSE
"540" "LEVONORGESTREL ETINILESTRADIOL" FALSE
"541" "OPTISPRING" FALSE
"542" "DIFICLIR" FALSE
"543" "VARSON" FALSE
"544" "FIASP" FALSE
"545" "GENTA GOBENS" FALSE
"546" "CAMLAD" FALSE
"547" "VYDURA" FALSE
"548" "DILTIAZEM" FALSE
"549" "VAXAR" FALSE
"550" "INSULATARD FLEXPEN" FALSE
"551" "MIXTARD" FALSE
"552" "ERIVEDGE" FALSE
"553" "ARTIFIC" FALSE
"554" "AUXINA MASIVA" FALSE
"555" "LEVOGASTROL" FALSE
"556" "ESTRING" FALSE
"557" "FELDENE" FALSE
"558" "OPTOVITE" FALSE
"559" "CELESTONE CRONODOSE" FALSE
"560" "ULTIBRO BREEZHALER" FALSE
"561" "ANASMA" FALSE
"562" "GEFITINIB" FALSE
"563" "TARLODIX" FALSE
"564" "ESPIRONOLACTONA" FALSE
"565" "NICOTINELL FRUIT" FALSE
"566" "MICARDISPLUS" FALSE
"567" "MONONITRATO ISOSORBIDA" FALSE
"568" "STALEVO" FALSE
"569" "SERETIDE ACCUHALER" FALSE
"570" "ZOLPIDEM DESGEN" TRUE
"571" "COSOPT" FALSE
"572" "DUROGESIC MATRIX" TRUE
"573" "TWYNSTA" FALSE
"574" "BILASTINA" FALSE
"575" "FLUIMUCIL" FALSE
"576" "TAMOXIFENO" FALSE
"577" "RIMACTAN" FALSE
"578" "MICRODIOL" FALSE
"579" "FORMODUAL NEXTHALER" FALSE
"580" "SEROXAT" FALSE
"581" "GRACIAL" FALSE
"582" "ZOLPIDEM" TRUE
"583" "VISCOFRESH" FALSE
"584" "FENISTIL" FALSE
"585" "HAVRIX" FALSE
"586" "ZOVIRAX" FALSE
"587" "IXIA" FALSE
"588" "TRANSTEC" TRUE
"589" "PULMICORT" FALSE
"590" "BUSULFANO" FALSE
"591" "RELVAR ELLIPTA" FALSE
"592" "BETADINE" FALSE
"593" "PLUSVENT" FALSE
"594" "HIPERTENE" FALSE
"595" "METAMIZOL" FALSE
"596" "MINIPRES" FALSE
"597" "BETAMICAN" FALSE
"598" "LIORESAL" FALSE
"599" "FLOGOPROFEN" FALSE
"600" "GLUCAGEN HYPOKIT" FALSE
"601" "HIRUDOID" FALSE
"602" "ZOCOR" FALSE
"603" "GINECANESTEN" FALSE
"604" "DIFLUCAN" FALSE
"605" "OFTACILOX" FALSE
"606" "BEMFOLA" FALSE
"607" "PRITORPLUS" FALSE
"608" "RISPERIDONA BENEL" FALSE
"609" "LISINOPRIL" FALSE
"610" "FLUTIFORM" FALSE
"611" "PEITEL" FALSE
"612" "FLECAINIDA" FALSE
"613" "ADRENALINA LEVEL" FALSE
"614" "CECILIANA" FALSE
"615" "THERVAN" FALSE
"616" "COULDINA IBUPROFENO" FALSE
"617" "NERDIPINA" FALSE
"618" "CHLORAPREP" FALSE
"619" "CIALIS" FALSE
"620" "VALACICLOVIR" FALSE
"621" "XELCIP" FALSE
"622" "MESTINON" FALSE
"623" "SERC" FALSE
"624" "TRITAMLO" FALSE
"625" "ABIRATERONA" FALSE
"626" "ANGITUSS" FALSE
"627" "FUNGOWAS" FALSE
"628" "FENTANILO" TRUE
"629" "DURFENTA" TRUE
"630" "ENANTYUM" FALSE
"631" "CLOVATE" FALSE
"632" "LAPRYSTA" FALSE
"633" "LAURAK" FALSE
"634" "CELECOXIB" FALSE
"635" "JIDINUM" FALSE
"636" "BILASTINA VIVANTA" FALSE
"637" "ANTIN" FALSE
"638" "CONVERIDE" FALSE
"639" "VOTRIENT" FALSE
"640" "COAPROVEL" FALSE
"641" "MEKTOVI" FALSE
"642" "MODAFINILO" FALSE
"643" "TEVETENS" FALSE
"644" "LEVOTIROXINA SODICA" FALSE
"645" "AILEVA" FALSE
"646" "SLINDA" FALSE
"647" "DABIGATRAN ETEXILATO TEVAGEN" FALSE
"648" "LOGIMAX" FALSE
"649" "REACTINE CETIRIZINA PSEUDOEFEDRINA" FALSE
"650" "EBIXA" FALSE
"651" "CAMPRAL" FALSE
"652" "HIGROTONA" FALSE
"653" "EZETROL" FALSE
"654" "ABILIFY" FALSE
"655" "OPIREN" FALSE
"656" "DUPIXENT" FALSE
"657" "BUCOMAX" FALSE
"658" "SALMAGNE" FALSE
"659" "ALDACTACINE" FALSE
"660" "LUMINAL" TRUE
"661" "SINETRAV" FALSE
"662" "LEVODOPA CARBIDOPA ENTACAPONA" FALSE
"663" "DRETINELLE" FALSE
"664" "IMATINIB DD" FALSE
"665" "CLANDERON" FALSE
"666" "NEOMICINA" FALSE
"667" "ALENDRONICO DAVUR" FALSE
"668" "LIPOCOMB" FALSE
"669" "LURASIDONA" FALSE
"670" "RUBRACA" FALSE
"671" "TELMISARTAN HIDROCLOROTIAZIDA" FALSE
"672" "CLOZAPINA" FALSE
"673" "ZEBINIX" FALSE
"674" "PROPRANOLOL" FALSE
"675" "VILDAGLIPTINA METFORMINA" FALSE
"676" "DEXAMETASONA ABDRUG" FALSE
"677" "DEKENDOL" FALSE
"678" "HEMLIBRA" FALSE
"679" "PRODERMA" FALSE
"680" "CINITAPRIDA" FALSE
"681" "BETNOVATE" FALSE
"682" "ATROLAK" FALSE
"683" "ALENDRONICO" FALSE
"684" "PRILIGY" FALSE
"685" "BICALUTAMIDA" FALSE
"686" "ARTICALM" FALSE
"687" "GYNOVIN" FALSE
"688" "TOPAMAX" FALSE
"689" "AMERIDE" FALSE
"690" "ENTOCORD" FALSE
"691" "SIMPONI" FALSE
"692" "ONBREZ BREEZHALER" FALSE
"693" "DROSIANELLE" FALSE
"694" "PIREXIN" FALSE
"695" "CETIRIZINA" FALSE
"696" "SEREVENT ACCUHALER" FALSE
"697" "COMIRNATY JN" FALSE
"698" "ECHINAMED" FALSE
"699" "DERMATRANS" FALSE
"700" "GELOCATIL" FALSE
"701" "MICOFENOLICO" FALSE
"702" "IMRALDI" FALSE
"703" "PEROXIBEN" FALSE
"704" "SILOSTAR" FALSE
"705" "LERZAM" FALSE
"706" "SIGNIFOR" FALSE
"707" "VASELINA CUVE" FALSE
"708" "IBUFEN" FALSE
"709" "ISOVORIN" FALSE
"710" "LORMETAZEPAM" TRUE
"711" "COSENTYX" FALSE
"712" "LOPID" FALSE
"713" "CLOXACILINA" FALSE
"714" "ZUANDOL" FALSE
"715" "IMETH" FALSE
"716" "INALACOR" FALSE
"717" "IOPIMAX" FALSE
"718" "DEXCLORFENIRAMINA MALEATO" FALSE
"719" "NEVANAC" FALSE
"720" "DILIBAN" FALSE
"721" "AMBROXOL" FALSE
"722" "ENTACAPONA" FALSE
"723" "TRADONAL" FALSE
"724" "XALKORI" FALSE
"725" "BERTANEL" FALSE
"726" "VARILIV DIOSMINA" FALSE
"727" "JAYDESS" FALSE
"728" "ARTILOG" FALSE
"729" "DICLOFENACO ABAMED" FALSE
"730" "HEXYON" FALSE
"731" "XADAGO" FALSE
"732" "COLECALCIFEROL" FALSE
"733" "PRETERAX" FALSE
"734" "CLOTRIMAZOL CANESMED" FALSE
"735" "VERSATIS" FALSE
"736" "INCRESYNC" FALSE
"737" "VIACORAM" FALSE
"738" "CINFAMUCOL CARBOCISTEINA" FALSE
"739" "INFLORAN" FALSE
"740" "RANEXA" FALSE
"741" "DACORTIN" FALSE
"742" "PRESAR" FALSE
"743" "PARAPRES" FALSE
"744" "SYNJARDY" FALSE
"745" "TAPTIQOM" FALSE
"746" "CAPECITABINA" FALSE
"747" "MEKINIST" FALSE
"748" "NOVORAPID PUMPCART" FALSE
"749" "TARDYFERON" FALSE
"750" "SEIDIGESTAN" FALSE
"751" "PRIORIX DISOLVENTE" FALSE
"752" "SOMAVERT" FALSE
"753" "NEBIVOLOL" FALSE
"754" "CICLOPIROX OLAMINA ABAMED" FALSE
"755" "PECTOX LISINA" FALSE
"756" "FORMODUAL" FALSE
"757" "ULTRALEVURA" FALSE
"758" "SAXENDA" FALSE
"759" "ENANPLUS" FALSE
