"product_id" "laboratory_id" "laboratory_name" "nationalCode" "denomination" "presentation" "presentation2" "contenido" "forma" "forma2" "concentracion" "masa_dimension" "volumen" "name" "presentation3"
3040 2000177 "PRODUCTOS MILVUS, S.L." "211250" "MANZANILLA DUCAL MILVUS 10 FILTROS" "MANZANILLA DUCAL MILVUS 10 FILTROS" "MANZANILLA DUCAL 10 FILTROS" NA NA NA NA NA NA "PRODUCTOS MILVUS" "MANZANILLA DUCAL 10 FILTROS"
3041 2000177 "PRODUCTOS MILVUS, S.L." "211243" "MANZANILLA DUCAL MILVUS 100 TAZAS" "MANZANILLA DUCAL MILVUS 100 TAZAS" "MANZANILLA DUCAL 100 TAZAS" NA NA NA NA NA NA "PRODUCTOS MILVUS" "MANZANILLA DUCAL 100 TAZAS"
3043 2000101 "SAKAI LABORATORIOS,S.A." "366252" "MANZANILLA DULCE PIRENAICA SOBRES" "MANZANILLA DULCE PIRENAICA SOBRES" "MANZANILLA DULCE PIRENAICA" NA "SOBRES" NA NA NA NA "SAKAI" "MANZANILLA DULCE PIRENAICA"
9630 963 "FORTIFLEX, S.A." "429399" "ARTELASTIC TALLA 9" "ARTELASTIC TALLA 9 TOBILLERA" "ARTELASTIC TALLA 9 TOBILLERA" NA NA NA NA NA NA "FORTIFLEX" "ARTELASTIC TALLA 9 TOBILLERA"
8385 976 "COLOPLAST PRODUCTOS MEDICOS, S.A." "485888" "ALTERNA CONFORT MIDI OPACA LISA 30MM 30U" "ALTERNA CONFORT MIDI OPACA LISA 30 MM 30 U BOLSAS COLOST RES SINT MIC FIL" "ALTERNA CONFORT MIDI OPACA LISA 30 U BOLSAS COLOST RES SINT MIC FIL" NA NA NA NA "30 MM" NA "COLOPLAST PRODUCTOS MEDICOS" "ALTERNA CONFORT MIDI OPACA LISA 30 U BOLSAS COLOST RES SINT MIC FIL"
9049 976 "COLOPLAST PRODUCTOS MEDICOS, S.A." "494534" "ALTERNA CONFORT 3P ADH TR MAXI TRANSP 50MM 30+10U" "ALTERNA CONFORT 3 PIEZAS ADH TR MAXI TRANSP 50 MM 30+10 U BOLSAS ILEOST SIST DOBLE PLAC C ESP" "ALTERNA CONFORT ADH TR MAXI TRANSP 30+10 U BOLSAS ILEOST SIST DOBLE PLAC C ESP" " 3 PIEZAS" NA NA NA "50 MM" NA "COLOPLAST PRODUCTOS MEDICOS" "ALTERNA CONFORT ADH TR MAXI TRANSP 30+10 U BOLSAS ILEOST SIST DOBLE PLAC C ESP"
11848 2000274 "L'ORÉAL" "177144" "CAPITAL SOLEIL GEL WET SKIN SPF 30 " "CAPITAL SOLEIL GEL WET SKIN SPF30 200 ML VICHY" "CAPITAL SOLEIL WET SKIN SPF VICHY" NA "GEL" NA NA NA "30 200 ML" "L'OREAL" "CAPITAL SOLEIL WET SKIN SPF"
11564 2000274 "L'ORÉAL" "187655" "CREMA" "CREMA HIDRATANTE 340 ML CERAVE" "HIDRATANTE CERAVE" NA "CREMA" NA NA NA " 340 ML" "L'OREAL" "HIDRATANTE"
11578 2000274 "L'ORÉAL" "187645" "CREMA MANOS" "CREMA REPARADORA MANOS 50 ML CERAVE" "REPARADORA MANOS CERAVE" NA "CREMA" NA NA NA " 50 ML" "L'OREAL" "REPARADORA MANOS"
11598 2000274 "L'ORÉAL" "153199" "RETEXTURING ACTIVATOR SÉRUM" "RETEXTURING ACTIVATOR 30 ML SKINCEUTICALS" "RETEXTURING ACTIVATOR SKINCEUTICALS" NA NA NA NA NA " 30 ML" "L'OREAL" "RETEXTURING ACTIVATOR"
11583 2000274 "L'ORÉAL" "203151" "BÁLSAMO REPARADOR AVANZADO" "BALSAMO REPARADOR AVANZADO 50 ML CERAVE" "BALSAMO REPARADOR AVANZADO CERAVE" NA NA NA NA NA " 50 ML" "L'OREAL" "BALSAMO REPARADOR AVANZADO"
11567 2000274 "L'ORÉAL" "187647" "SÉRUM HIDRATANTE HA" "SERUM HIDRATANTE 30 ML CERAVE" "SERUM HIDRATANTE CERAVE" NA NA NA NA NA " 30 ML" "L'OREAL" "SERUM HIDRATANTE"
6088 992 "APOSITOS DR. CEA, S.A." "427807" "80% DOCTOR CEA 250 G" "80 % DOCTOR CEA 250 G ALGODON ARROLLADO MEZCLA" "DOCTOR ALGODON ARROLLADO MEZCLA" NA NA NA "80 %" "250 G" NA "APOSITOS DR CEA" "DOCTOR ALGODON ARROLLADO MEZCLA"
530 2000056 "TREPAT  DIET, S.L.U." "160956" "ALOE COLON CLEANSE LAXDAY 30TAB TREPAT D" "ALOE COLON CLEANSE LAXDAY 30 TAB TREPAT D" "ALOE COLON CLEANSE LAXDAY 30 TAB D" NA NA NA NA NA NA "TREPAT DIET" "ALOE COLON CLEANSE LAXDAY 30 TAB D"
1150 2000018 "ORDESA S.L." "266023" "BLEVIT PLUS 8 CEREALES 600 GR" "BLEVIT PLUS 8 CEREALES 600 G" "BLEVIT PLUS 8 CEREALES" NA NA NA NA "600 G" NA "ORDESA" "BLEVIT PLUS 8 CEREALES"
1203 2000123 "BRUDYLAB,  SL" "161522" "BRUDY SEC 1,5 90 CAPSULAS BRUDYLAB" "BRUDY SEC 1.5 90 CAPSULAS BRUDYLAB" "BRUDY SEC" "1.5 90 CAPSULAS" NA NA NA NA NA "BRUDYLAB" "BRUDY SEC"
8445 8006 "ACTIV MEDICAL DISPOSABLE, S.A.L." "486522" "PRESTERIL ELASTICOS T. GRANDE 20U" "PRESTERIL ELASTICOS T GRANDE 20 U ABSORBENTE INC ORINA NOC ANAT" "PRESTERIL T GRANDE 20 U ABSORBENTE INC ORINA NOC ANAT" NA NA NA NA NA NA "ACTIV MEDICAL DISPOSABLE" "PRESTERIL T GRANDE 20 U ABSORBENTE INC ORINA NOC ANAT"
6655 952 "INTERSAN, S.A." "453977" "PRESTERIL GRANDE 1 UNID" "PRESTERIL GRANDE 1 UNIDADES COLECTOR BOLSA RECOGIDA ORINA C T TIRA" "PRESTERIL GRANDE COLECTOR BOLSA RECOGIDA ORINA C T TIRA" " 1 UNIDADES" NA NA NA NA NA "INTERSAN" "PRESTERIL GRANDE COLECTOR BOLSA RECOGIDA ORINA C T TIRA"
1255 2000131 "MOGAR .S.A." "172934" "CARAMELOS BALSAMICO EM EUKAL EUCALIP 40G" "CARAMELOS BALSAMICO EM EUKAL EUCALIP 40 G" "BALSAMICO EM EUKAL EUCALIP" NA NA NA NA "40 G" NA "MOGAR" "BALSAMICO EM EUKAL EUCALIP"
1257 2000131 "MOGAR .S.A." "172935" "CARAMELOS BALSAMICO EM EUKAL LIMON 50G" "CARAMELOS BALSAMICO EM EUKAL LIMON 50 G" "BALSAMICO EM EUKAL LIMON" NA NA NA NA "50 G" NA "MOGAR" "BALSAMICO EM EUKAL LIMON"
1260 2000131 "MOGAR .S.A." "172941" "CARAMELOS BALSAMICO EM EUKAL SALVIA 40" "CARAMELOS BALSAMICO EM EUKAL SALVIA 40" "BALSAMICO EM EUKAL SALVIA 40" NA NA NA NA NA NA "MOGAR" "BALSAMICO EM EUKAL SALVIA 40"
1262 2000025 "NATUR IMPORT" "102504" "CARAMELOS SOS RESCATE BONBONS 50 GR" "CARAMELOS SOS RESCATE BONBONS 50 G" "SOS RESCATE BONBONS" NA NA NA NA "50 G" NA "NATUR IMPORT" "SOS RESCATE BONBONS"
1520 2000157 "VISUFARMA B.V." "202381" "COQUN COMBO 60 COMPRIMIDOS" "COQUN COMBO 60 COMPRIMIDOS" "COQUN COMBO" " 60 COMPRIMIDOS" NA NA NA NA NA "VISUFARMA" "COQUN COMBO"
1522 2000075 "PILEJE S.L.U" "166816" "CORACOL FRASCO 150 COMP PILEJE" "CORACOL FRASCO 150 COMPRIMIDOS PILEJE" "CORACOL" "FRASCO 150 COMPRIMIDOS" NA NA NA NA NA "PILEJE" "CORACOL"
1524 2000011 "LA BOTICA NATURAL" "190252" "CORALCART 120 CAPS MAHEN" "CORALCART 120 CAPSULAS MAHEN" "CORALCART MAHEN" " 120 CAPSULAS" NA NA NA NA NA "BOTICA NATURAL" "CORALCART MAHEN"
3046 2000039 "HELIOSAR, S.L." "190476" "MARBISAN INTEGRABIUM GOTAS ORALES 50ML" "MARBISAN INTEGRABIUM GOTAS ORALES 50 ML" "MARBISAN INTEGRABIUM" NA "GOTAS ORALES" NA NA NA " 50 ML" "HELIOSAR" "MARBISAN INTEGRABIUM"
1575 2000061 "LOGISTA PHARMA,S.A.U." "176125" "CYSTIPHANE BIORGA CYSTINE BG ZN 60 COMP" "CYSTIPHANE BIORGA CYSTINE BG ZN 60 COMPRIMIDOS" "CYSTIPHANE BIORGA CYSTINE BG ZN" " 60 COMPRIMIDOS" NA NA NA NA NA "LOGISTA" "CYSTIPHANE BIORGA CYSTINE BG ZN"
1578 2000071 "LABORATORIOS DEITERS,SL" "163536" "CYSTOP 60 CAPSULAS" "CYSTOP 60 CAPSULAS" "CYSTOP" " 60 CAPSULAS" NA NA NA NA NA "DEITERS" "CYSTOP"
7036 934 "PROMECHI, S.L." "462952" "PROMECHI TAMAÑO 4" "PROMECHI TAMAÑO 4 CANULA LARINGECTOMIA" "TAMAÑO 4 CANULA LARINGECTOMIA" NA NA NA NA NA NA "PROMECHI" "TAMAÑO 4 CANULA LARINGECTOMIA"
1680 2000018 "ORDESA S.L." "165698" "DONNA PLUS ACEITE ONAGRA 150 ML" "DONNA PLUS ACEITE ONAGRA 150 ML" "DONNA PLUS ACEITE ONAGRA" NA NA NA NA NA " 150 ML" "ORDESA" "DONNA PLUS ACEITE ONAGRA"
1734 2000070 "A.C.P.G.SAL. LABORATORIOS, S.A" "174545" "EL NATURALISTA ACEITE ARBOL TE 30 ML" "NATURALISTA ACEITE ARBOL 30 ML" "NATURALISTA ACEITE ARBOL" NA NA NA NA NA " 30 ML" "ACPG" "NATURALISTA ACEITE ARBOL"
7042 934 "PROMECHI, S.L." "463026" "PROMECHI 2 PIEZAS TAMAÑO 4" "PROMECHI 2 PIEZAS TAMAÑO 4 CANULA TRAQUEOTOMIA" "TAMAÑO 4 CANULA TRAQUEOTOMIA" " 2 PIEZAS" NA NA NA NA NA "PROMECHI" "TAMAÑO 4 CANULA TRAQUEOTOMIA"
7044 934 "PROMECHI, S.L." "463042" "PROMECHI 2 PIEZAS TAMAÑO 6" "PROMECHI 2 PIEZAS TAMAÑO 6 CANULA TRAQUEOTOMIA" "TAMAÑO 6 CANULA TRAQUEOTOMIA" " 2 PIEZAS" NA NA NA NA NA "PROMECHI" "TAMAÑO 6 CANULA TRAQUEOTOMIA"
7048 934 "PROMECHI, S.L." "463083" "PROMECHI 3 PIEZAS TAMAÑO 4" "PROMECHI 3 PIEZAS TAMAÑO 4 CANULA TRAQUEOTOMIA" "TAMAÑO 4 CANULA TRAQUEOTOMIA" " 3 PIEZAS" NA NA NA NA NA "PROMECHI" "TAMAÑO 4 CANULA TRAQUEOTOMIA"
11710 2000274 "L'ORÉAL" "182903" "MINÉRAL 89 SÉRUM " "MINERAL 89 SERUM 50 ML VICHY" "MINERAL 89 SERUM VICHY" NA NA NA NA NA " 50 ML" "L'OREAL" "MINERAL 89 SERUM"
11744 2000274 "L'ORÉAL" "306678" "SERUM 10" "SERUM 10 30 ML SKINCEUTICALS" "SERUM SKINCEUTICALS" NA NA NA NA NA "10 30 ML" "L'OREAL" "SERUM"
5349 919 "TEXTIL ELASTICO, S.L." "401265" "MEDILAST 502 TALLA GRANDE-1" "MEDILAST 502 TALLA GRANDE 1 MEDIAS ET CINT COMPRIMIDOS FUERTE" "MEDILAST 502 TALLA GRANDE 1 MEDIAS ET CINT FUERTE" NA "COMPRIMIDOS" NA NA NA NA "TEXTIL ELASTICO" "MEDILAST 502 TALLA GRANDE 1 MEDIAS ET CINT FUERTE"
2917 2000099 "CHIESI ESPAÑA, SA" "174503" "LIPOGRASIL 15 DIAS CHOQUE 45 COMPRIMIDOS" "LIPOGRASIL 15 DIAS CHOQUE 45 COMPRIMIDOS" "LIPOGRASIL 15 DIAS CHOQUE" " 45 COMPRIMIDOS" NA NA NA NA NA "CHIESI" "LIPOGRASIL 15 DIAS CHOQUE"
2919 2000099 "CHIESI ESPAÑA, SA" "165683" "LIPOGRASIL DRENANTE 14 SOBRES" "LIPOGRASIL DRENANTE 14 SOBRES" "LIPOGRASIL DRENANTE" " 14 SOBRES" NA NA NA NA NA "CHIESI" "LIPOGRASIL DRENANTE"
2931 2000087 "ALCHEMLIFE IBERIA SLU" "197272" "LIVERUBIN 60 CAPSULAS" "LIVERUBIN 60 CAPSULAS" "LIVERUBIN" " 60 CAPSULAS" NA NA NA NA NA "ALCHEMLIFE" "LIVERUBIN"
2934 2000000 "SORIA NATURAL SA" "176845" "LLANTUSIL  48 CAPS HOMEOSOR" "LLANTUSIL 48 CAPSULAS HOMEOSOR" "LLANTUSIL HOMEOSOR" " 48 CAPSULAS" NA NA NA NA NA "SORIA NATURAL" "LLANTUSIL HOMEOSOR"
5207 976 "COLOPLAST PRODUCTOS MEDICOS, S.A." "400042" "EASIFLEX CONFORT CONVEX LIGHT MAXI TR REC 15-23  30+10U" "EASIFLEX CONFORT CONVEX LIGHT MAXI TR REC 15 23 30+10 U BOLSAS ILEOST SIST DOBLE PLAC ACOPLAM ADH" "EASIFLEX CONFORT CONVEX LIGHT MAXI TR REC 15 23 30+10 U BOLSAS ILEOST SIST DOBLE PLAC ACOPLAM ADH" NA NA NA NA NA NA "COLOPLAST PRODUCTOS MEDICOS" "EASIFLEX CONFORT CONVEX LIGHT MAXI TR REC 15 23 30+10 U BOLSAS ILEOST SIST DOBLE PLAC ACOPLAM ADH"
2936 2000224 "RAYAN, SL." "163676" "LOLAX ESENCIAL CIRUELA 50 CAPS" "LOLAX ESENCIAL CIRUELA 50 CAPSULAS" "LOLAX ESENCIAL CIRUELA" " 50 CAPSULAS" NA NA NA NA NA "RAYAN" "LOLAX ESENCIAL CIRUELA"
5351 919 "TEXTIL ELASTICO, S.L." "401281" "MEDILAST 502 TALLA GRANDE-3" "MEDILAST 502 TALLA GRANDE 3 MEDIAS ET CINT COMPRIMIDOS FUERTE" "MEDILAST 502 TALLA GRANDE 3 MEDIAS ET CINT FUERTE" NA "COMPRIMIDOS" NA NA NA NA "TEXTIL ELASTICO" "MEDILAST 502 TALLA GRANDE 3 MEDIAS ET CINT FUERTE"
11767 2000274 "L'ORÉAL" "264260" "PURETE THERMALE AGUA MICELAR" "PURETE THERMALE AGUA MICELAR 400 ML VICHY" "PURETE THERMALE AGUA MICELAR VICHY" NA NA NA NA NA " 400 ML" "L'OREAL" "PURETE THERMALE AGUA MICELAR"
5347 919 "TEXTIL ELASTICO, S.L." "401240" "MEDILAST 502 TALLA MEDIANA-2" "MEDILAST 502 TALLA MEDIANA 2 MEDIAS ET CINT COMPRIMIDOS FUERTE" "MEDILAST 502 TALLA MEDIANA 2 MEDIAS ET CINT FUERTE" NA "COMPRIMIDOS" NA NA NA NA "TEXTIL ELASTICO" "MEDILAST 502 TALLA MEDIANA 2 MEDIAS ET CINT FUERTE"
13508 2000174 "RECKITT BENCKISER HEALTHCARE, S.A." "2033849" "GAVINATURA" "GAVINATURA 14 COMPRIMIDOS" "GAVINATURA" " 14 COMPRIMIDOS" NA NA NA NA NA "RECKITT BENCKISER HEALTHCARE" "GAVINATURA"
2938 2000144 "KERN PHARMA S.L." "160696" "LONGYVIT +45  30 CAPSULAS" "LONGYVIT +45 30 CAPSULAS" "LONGYVIT +" "45 30 CAPSULAS" NA NA NA NA NA "KERN" "LONGYVIT +"
2940 2000055 "DANONE NUTRICIA, S.R.L." "325944" "LOPROFIN BARQUILLOS NARANJA 12X100 G." "LOPROFIN BARQUILLOS NARANJA 12 X 100 G" "LOPROFIN BARQUILLOS NARANJA" " 12 X 100 G" NA NA NA NA NA "DANONE NUTRICIA" "LOPROFIN BARQUILLOS NARANJA"
